Id,Name,Cirrhosis,Diabetic ketoacidosis,Diabetes mellitus,Irritability,Ovarian tumors,Anemia,Muscular dystrophy,Pituitary gland disorders,Vitamin B6 deficiency,Coronary artery disease,Nausea,Pancreatitis,Renal tubular acidosis,Certain medications,Thyroiditis,Malnutrition,Metabolic syndrome,Fanconi syndrome,Congenital deficiency,Hemolytic anemia,Renal cell carcinoma,Bruising easily,LDH deficiency,Rickets,There are no well-documented cases of toxicity from high doses of biotin.,Overhydration,Rare genetic disorders,Insomnia,Chronic inflammatory conditions,Bone disorders,Fatigue,Cushing's syndrome,Skin disorders,Osteoporosis,Iron overload,Hypokalemia,Polycystic ovary syndrome,Iron deficiency anemia,Heparin therapy,Tumor lysis syndrome,Type 1 diabetes,Hypomagnesemia,Increased clotting factor levels,Neural tube defects,Hypernatremia,Inflammatory bowel disease,antacid use,Multiple myeloma,Hemolysis,Liver failure,Growth retardation,Severe liver disease,Heart attack,Cognitive decline,Anovulation,Hepatitis,Excess supplementation,Inflammation,Aging,Burns,Alcohol abuse,Mouth sores,Autoimmune diseases,Lesch-Nyhan syndrome,Vomiting,"Rare, not typically associated with clinical conditions",Depression,Severe tissue damage,Gilbert's syndrome,Skin rashes,Certain cancers,Hemophilia,Bright yellow urine,Chronic kidney disease,"Rare, but can interfere with anticoagulant medications",Abetalipoproteinemia,Sensory neuropathy,Myeloproliferative disorders,Strict vegetarian or vegan diet,Uremia,Pregnancy,Hypochloremia,Conn's syndrome,Impaired immune function,Hypocalcemia,Muscle damage,Gastrointestinal disturbances,Glucose intolerance,Liver disease,Pellagra,Pituitary dysfunction,Brittle nails,Turner syndrome,Zinc deficiency,Hyperalphalipoproteinemia,Pancreatic disease,Megaloblastic anemia,Skin flushing,Hypogonadism,Congestive heart failure,Malabsorption disorders,Diarrhea,Autoimmune disorders,Liver damage,Wilson's disease,Kidney stones,Chronic infections,Hypophosphatemia,Anorexia nervosa,Erythropoiesis,Chronic inflammatory diseases,Pernicious anemia,Hyperparathyroidism,Anticoagulant therapy,Hemosiderosis,Dry eyes,Some genetic disorders,Alcoholism,Acute kidney injury,Luteal phase defect,Diabetes insipidus,Disseminated intravascular coagulation,Birth defects,Vitamin K deficiency,Vitamin D deficiency,Myasthenia gravis,Genetic disorder,Hypercalcemia,Scurvy,Nephrotic syndrome,Addison's disease,Kidney dysfunction,Fatty liver,Sarcoidosis,Headaches,Infections,Type 2 diabetes,Ariboflavinosis,Hypervitaminosis A,Tangier disease,Rhabdomyolysis,Some ovarian tumors,Thyroid disorders,Menopause,Jaundice,Hypermagnesemia,Cancer,Thrombophilia,Diuretic use,Hypobetalipoproteinemia,Malabsorption syndromes,Hypoaldosteronism,Chronic stress,Congenital adrenal hyperplasia,Hypothyroidism,Numbness in hands and feet,Renal failure,Cardiovascular disease,Chronic blood loss,Obesity,Cardiovascular events,T3 toxicosis,Adrenal insufficiency,Hypoglycemia,Hair loss,Rapid pulse,Ovarian cysts,Hypophosphatasia,Can cause gastrointestinal issues in very high doses,High protein diet,Hypervitaminosis D,Hyperphosphatemia,Klinefelter syndrome,Thyroid hormone resistance,Caffeine consumption,Bone abnormalities,Dermatitis,Dehydration,Liver cirrhosis,Euthyroid sick syndrome,Iodine deficiency,Osteomalacia,Beriberi,Oxidative stress,Hyperkalemia,Cholestasis,Photosensitivity,Severe diarrhea,Neurological symptoms,Gastrointestinal bleeding,Neurological disorders,Testicular tumors,Weakened immune system,Low muscle mass,Familial hypercholesterolemia,Kidney disease,Hyponatremia,Immunodeficiency disorders,Vomiting or diarrhea,Hypercoagulable states,Peripheral neuropathy,Cognitive impairment,Masks Vitamin B12 deficiency,Iron supplementation,Dementia,Chronic dialysis,Prediabetes,Hyperchloremia,Hyperthyroidism,Malabsorption,Metabolic acidosis,Von Willebrand disease,Insulinoma,Chronic illness,Hemochromatosis,Wernicke-Korsakoff syndrome,Inflammatory conditions,Frequent blood transfusions,Night blindness,Impaired wound healing,Insulin resistance,Hypoparathyroidism,Bleeding disorders,Stress-induced hyperglycemia,Gout,Blood loss,Kidney failure,Metabolic alkalosis,Tissue damage,Genetic polymorphisms,Heart failure
5a4fa11b-fdd4-496a-b53d-b79825308e83,Blood Glucose,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83950533-5904-49f2-a138-a9ea335fd917,Hemoglobin A1c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
210c1aed-8e17-47cf-a1d2-f16200ce9e30,Glycated Albumin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47d28120-fc27-436f-a0e0-9da3a108f07e,Total Cholesterol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9a4a3b4-6d66-41ac-94e6-65442f5de723,LDL Cholesterol,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d7f4767c-db5f-4954-8132-d222e17992f1,HDL Cholesterol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d99cc366-4ec7-4f45-b1d3-8d0ac5eb485b,Triglycerides,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52cb5873-a299-439e-990d-c88f6b6c5956,Apolipoprotein A1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfb1e35e-3ea4-481d-ba44-ad971e1e15be,Apolipoprotein B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e47f236-bf1b-4ea4-a3a8-35452fe30c51,Vitamin D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
